Movie Title,World Wide,Deomestic,imdbid,year,bt_score,submitterid,dubious,Score Category
Air,5468936.0,,16419074,2023,0,21099,0.0,Less than 2 named female characters
Air,90060106.0,52460106.0,16419074,2023,0,21099,0.0,Less than 2 named female characters
Dog Days,2658318.0,,7365604,2018,3,16680,0.0,Beschdel test passed
Neon Genesis Evangelion: The End of Evangelion,1302300.0,1302300.0,169858,1997,3,9312,0.0,Beschdel test passed
Barbie,1445638421.0,636238421.0,1517268,2023,3,21330,0.0,Beschdel test passed
Oppenheimer,970159540.0,329862540.0,15398776,2023,2,21331,0.0,Female character's dialogue is about boys
Guardians of the Galaxy Vol. 3,845555777.0,358995815.0,6791350,2023,3,21354,0.0,Beschdel test passed
Fast X,704875015.0,146126015.0,5433140,2023,3,21221,0.0,Beschdel test passed
Spider-Man: Across the Spider-Verse,690615475.0,381311319.0,9362722,2023,3,21292,0.0,Beschdel test passed
Ant-Man and the Wasp: Quantumania,476071180.0,214504909.0,10954600,2023,3,20928,0.0,Beschdel test passed
Indiana Jones and the Dial of Destiny,383963057.0,174480468.0,1462764,2023,1,21294,0.0,Female characters have no dialogue
Evil Dead Rise,147033054.0,67233054.0,13345606,2023,3,21160,0.0,Beschdel test passed
Pathaan,112583450.0,17487476.0,12844910,2023,3,20874,0.0,Beschdel test passed
Cocaine Bear,88314672.0,64670240.0,14209916,2023,3,20961,0.0,Beschdel test passed
No Hard Feelings,87256407.0,50452282.0,15671028,2023,3,21316,0.0,Beschdel test passed
65,60730568.0,32062904.0,12261776,2023,2,21005,0.0,Female character's dialogue is about boys
Demon Slayer: Kimetsu No Yaiba - To the Swordsmith Village,56319351.0,10117806.0,26537229,2023,3,21116,0.0,Beschdel test passed
Asteroid City,53857743.0,28153025.0,14230388,2023,3,21342,0.0,Beschdel test passed
Missing,48767848.0,32502025.0,10855768,2023,3,20923,0.0,Beschdel test passed
Missing,48767848.0,32502025.0,84335,1982,3,14747,0.0,Beschdel test passed
Missing,14000000.0,14000000.0,10855768,2023,3,20923,0.0,Beschdel test passed
Missing,14000000.0,14000000.0,84335,1982,3,14747,0.0,Beschdel test passed
Open Season,14961612.0,,400717,2006,1,6293,0.0,Female characters have no dialogue
Open Season,200811689.0,85105259.0,400717,2006,1,6293,0.0,Female characters have no dialogue
Top Gun: Maverick,1495696292.0,718732821.0,1745960,2022,3,20129,0.0,Beschdel test passed
Jurassic World Dominion,1001978080.0,376851080.0,8041270,2022,3,20194,0.0,Beschdel test passed
Doctor Strange in the Multiverse of Madness,955775804.0,411331607.0,9419884,2022,3,20078,0.0,Beschdel test passed
Black Panther: Wakanda Forever,859208836.0,453829060.0,9114286,2022,3,20601,0.0,Beschdel test passed
Thor: Love and Thunder,760928081.0,343256830.0,10648342,2022,3,20271,0.0,Beschdel test passed
Puss in Boots: The Last Wish,481705474.0,186090535.0,3915174,2022,3,20775,0.0,Beschdel test passed
Fantastic Beasts: The Secrets of Dumbledore,407150844.0,95850844.0,4123432,2022,1,20120,0.0,Female characters have no dialogue
Uncharted,407141258.0,148648820.0,1464335,2022,2,19901,1.0,Dubious
Sonic the Hedgehog 2,405421518.0,190872904.0,12412888,2022,3,19995,0.0,Beschdel test passed
Elvis,287740048.0,151040048.0,3704428,2022,1,20254,0.0,Female characters have no dialogue
Bullet Train,239268602.0,103368602.0,12593682,2022,1,20329,0.0,Female characters have no dialogue
Lightyear,226425420.0,118307188.0,10298810,2022,2,20229,0.0,Female character's dialogue is about boys
Smile,217408513.0,105935048.0,15474916,2022,3,20483,0.0,Beschdel test passed
M3GAN,180089109.0,95159005.0,8760708,2022,3,21071,0.0,Beschdel test passed
Nope,171235592.0,123277080.0,10954984,2022,1,20345,0.0,Female characters have no dialogue
Morbius,167460961.0,73865530.0,5108870,2022,1,20015,0.0,Female characters have no dialogue
RRR,165955146.0,14500000.0,8178634,2022,2,20808,1.0,Dubious
Where the Crawdads Sing,144353965.0,90230760.0,9411972,2022,3,20735,0.0,Beschdel test passed
Everything Everywhere All at Once,139405704.0,77191785.0,6710474,2022,3,20042,0.0,Beschdel test passed
Scream,137743924.0,81641405.0,11245972,2022,3,19884,0.0,Beschdel test passed
Scream,137743924.0,81641405.0,117571,1996,3,388,0.0,Beschdel test passed
Scream,103067302.0,103046663.0,11245972,2022,3,19884,0.0,Beschdel test passed
Scream,103067302.0,103046663.0,117571,1996,3,388,0.0,Beschdel test passed
Death on the Nile,137307235.0,45630104.0,7657566,2022,3,20024,0.0,Beschdel test passed
Death on the Nile,137307235.0,45630104.0,77413,1978,3,4575,0.0,Beschdel test passed
Death on the Nile,14560084.0,14560084.0,7657566,2022,3,20024,0.0,Beschdel test passed
Death on the Nile,14560084.0,14560084.0,77413,1978,3,4575,0.0,Beschdel test passed
Dragon Ball Super: Super Hero,86562140.0,38112140.0,14614892,2022,3,20359,0.0,Beschdel test passed
Strange World,73621640.0,37968963.0,10298840,2022,3,20919,0.0,Beschdel test passed
Babylon,63562440.0,15351455.0,10640346,2022,3,20883,0.0,Beschdel test passed
Ambulance,52303589.0,22781115.0,4998632,2022,2,20041,1.0,Dubious
Barbarian,45352337.0,40842944.0,15791034,2022,3,20505,0.0,Beschdel test passed
Triangle of Sadness,26214659.0,4608096.0,7322224,2022,3,20446,0.0,Beschdel test passed
Hero,24392492.0,,104412,1992,1,9050,0.0,Female characters have no dialogue
Hero,45565534.0,88675.0,104412,1992,1,9050,0.0,Female characters have no dialogue
Hero,76089199.0,,104412,1992,1,9050,0.0,Female characters have no dialogue
Hero,177395557.0,53710019.0,104412,1992,1,9050,0.0,Female characters have no dialogue
Hero,19507345.0,19507345.0,104412,1992,1,9050,0.0,Female characters have no dialogue
Devotion,21768133.0,20511938.0,38474,1946,3,1502,0.0,Beschdel test passed
Turning Red,21521622.0,1399001.0,8097030,2022,3,19953,0.0,Beschdel test passed
Broker,18851416.0,1046899.0,13056052,2022,3,20784,0.0,Beschdel test passed
Fall,17363261.0,7240521.0,15325794,2022,3,21061,0.0,Beschdel test passed
Bones and All,15234907.0,7834907.0,10168670,2022,3,20755,0.0,Beschdel test passed
Terrifier 2,15065239.0,10640105.0,10403420,2022,3,20548,0.0,Beschdel test passed
Bros,14781867.0,11628165.0,9731598,2022,3,20654,0.0,Beschdel test passed
X,14740889.0,11765309.0,13560574,2022,3,20223,0.0,Beschdel test passed
She Said,13944212.0,5825995.0,14807308,2022,2,21127,0.0,Female character's dialogue is about boys
Bodies Bodies Bodies,13929670.0,11446602.0,8110652,2022,3,20362,0.0,Beschdel test passed
Men,11152071.0,7587853.0,13841850,2022,3,20116,1.0,Dubious
Pearl,9747742.0,9423445.0,18925334,2022,3,20461,0.0,Beschdel test passed
Women Talking,9276103.0,5456531.0,13669038,2022,3,21000,0.0,Beschdel test passed
Spider-Man: No Way Home,1912233593.0,804793477.0,10872600,2021,3,19768,1.0,Dubious
Sing 2,408402685.0,162790990.0,6467266,2021,3,19906,0.0,Beschdel test passed
Eternals,402064899.0,164870234.0,9032400,2021,3,19679,0.0,Beschdel test passed
Dune,402027830.0,108327830.0,1160419,2021,3,19545,0.0,Beschdel test passed
Dune,402027830.0,108327830.0,142032,2000,3,8507,0.0,Beschdel test passed
Dune,402027830.0,108327830.0,87182,1984,3,1834,1.0,Dubious
Dune,30926865.0,30925690.0,1160419,2021,3,19545,0.0,Beschdel test passed
Dune,30926865.0,30925690.0,142032,2000,3,8507,0.0,Beschdel test passed
Dune,30926865.0,30925690.0,87182,1984,3,1834,1.0,Dubious
Black Widow,379751655.0,183651655.0,3480822,2021,3,19362,0.0,Beschdel test passed
Black Widow,379751655.0,183651655.0,90738,1987,3,8154,0.0,Beschdel test passed
Black Widow,25205460.0,25205460.0,3480822,2021,3,19362,0.0,Beschdel test passed
Black Widow,25205460.0,25205460.0,90738,1987,3,8154,0.0,Beschdel test passed
Free Guy,331526598.0,121626598.0,6264654,2021,1,19476,0.0,Female characters have no dialogue
A Quiet Place Part II,297372261.0,160072261.0,8332922,2020,3,19315,1.0,Dubious
Encanto,256786742.0,96093622.0,2953050,2021,3,19732,0.0,Beschdel test passed
Cruella,233503234.0,86103234.0,3228774,2021,3,19231,0.0,Beschdel test passed
Jungle Cruise,220889446.0,116987516.0,870154,2021,3,19422,1.0,Dubious
Ghostbusters: Afterlife,204334455.0,129360575.0,4513678,2021,3,20207,0.0,Beschdel test passed
Jujutsu Kaisen 0,166760828.0,34542754.0,14331144,2021,1,20616,0.0,Female characters have no dialogue
Space Jam: A New Legacy,163692228.0,70592228.0,3554046,2021,3,19387,0.0,Beschdel test passed
House of Gucci,153269161.0,53809574.0,11214590,2021,2,20380,0.0,Female character's dialogue is about boys
Be Somebody,132326332.0,,5512872,2016,3,13662,0.0,Beschdel test passed
Halloween Kills,131647155.0,92002155.0,10665338,2022,3,20527,1.0,Dubious
Raya and the Last Dragon,130423032.0,54723032.0,5109280,2021,3,18743,0.0,Beschdel test passed
Old,90146510.0,48276510.0,10954652,2021,3,19405,0.0,Beschdel test passed
Mortal Kombat,84426031.0,42326031.0,293429,2021,2,18995,0.0,Female character's dialogue is about boys
Mortal Kombat,84426031.0,42326031.0,113855,1995,1,958,0.0,Female characters have no dialogue
Mortal Kombat,70455286.0,70454098.0,293429,2021,2,18995,0.0,Female character's dialogue is about boys
Mortal Kombat,70455286.0,70454098.0,113855,1995,1,958,0.0,Female characters have no dialogue
Candyman,77411570.0,61186570.0,103919,1992,3,9061,0.0,Beschdel test passed
Candyman,25792310.0,25792310.0,103919,1992,3,9061,0.0,Beschdel test passed
West Side Story,76016171.0,38530322.0,3581652,2021,3,19743,0.0,Beschdel test passed
West Side Story,76016171.0,38530322.0,55614,1961,3,3806,0.0,Beschdel test passed
Escape Room: Tournament of Champions,65774490.0,25314753.0,9844522,2021,3,19531,0.0,Beschdel test passed
Belle,64666502.0,4018313.0,13651628,2021,3,20399,0.0,Beschdel test passed
Belle,64666502.0,4018313.0,2404181,2014,3,10078,0.0,Beschdel test passed
Nobody,57510518.0,27568035.0,7888964,2021,1,18916,0.0,Female characters have no dialogue
Luca,51074773.0,1324302.0,12801262,2021,1,19374,1.0,Dubious
Belfast,49158709.0,9250870.0,12789558,2021,1,19871,0.0,Female characters have no dialogue
In the Heights,45175167.0,29975167.0,1321510,2021,3,19271,0.0,Beschdel test passed
Spiral,40618920.0,23216862.0,244870,2000,3,10817,0.0,Beschdel test passed
Snake Eyes,40064325.0,28264325.0,120832,1998,1,13362,0.0,Female characters have no dialogue
Snake Eyes,103891409.0,55591409.0,120832,1998,1,13362,0.0,Female characters have no dialogue
Nightmare Alley,39629195.0,11338107.0,7740496,2021,1,19820,0.0,Female characters have no dialogue
Nomadland,39458207.0,3700000.0,9770150,2020,3,18694,0.0,Beschdel test passed
King Richard,39429285.0,15129285.0,9620288,2021,3,20378,0.0,Beschdel test passed
Malignant,34891791.0,13391791.0,3811906,2021,3,19540,0.0,Beschdel test passed
Licorice Pizza,33274040.0,17318007.0,11271038,2021,3,19818,0.0,Beschdel test passed
Respect,32882823.0,24278399.0,2452150,2021,3,19654,0.0,Beschdel test passed
Spencer,25246967.0,7086632.0,12536294,2021,3,19981,0.0,Beschdel test passed
Parallel Mothers,23099858.0,2297501.0,12618926,2021,3,19949,0.0,Beschdel test passed
Last Night in Soho,22957625.0,10127625.0,9639470,2021,3,19674,0.0,Beschdel test passed
After We Fell,21753705.0,2170750.0,13069986,2021,1,19911,0.0,Female characters have no dialogue
Dear Evan Hansen,19133454.0,15002646.0,9357050,2021,1,19892,0.0,Female characters have no dialogue
Those Who Wish Me Dead,19107200.0,7407200.0,3215824,2021,1,19433,0.0,Female characters have no dialogue
Reminiscence,16400193.0,3900193.0,3272066,2021,2,19486,0.0,Female character's dialogue is about boys
Drive My Car,15364572.0,2352240.0,14039582,2021,3,19480,0.0,Beschdel test passed
Minari,15288578.0,3110580.0,10633456,2020,3,17733,0.0,Beschdel test passed
The Worst Person in the World,12687507.0,3034775.0,10370710,2021,3,19835,1.0,Dubious
Black Box,9738741.0,,10341034,2021,1,20333,0.0,Female characters have no dialogue
Pushpa: The Rise - Part 1,7592374.0,1320000.0,9389998,2021,2,20386,0.0,Female character's dialogue is about boys
Tenet,365304105.0,58504105.0,6723592,2020,1,18281,0.0,Female characters have no dialogue
Sonic the Hedgehog,319715683.0,148974665.0,3794354,2020,3,17724,0.0,Beschdel test passed
Dolittle,251410631.0,77047065.0,6673612,2020,3,19800,0.0,Beschdel test passed
Birds of Prey,205358461.0,84158461.0,7713068,2020,3,17704,0.0,Beschdel test passed
Wonder Woman 1984,169601036.0,46801036.0,7126948,2020,3,18555,0.0,Beschdel test passed
Onward,141940042.0,61555145.0,7146812,2020,3,17775,0.0,Beschdel test passed
Soul,121903885.0,946154.0,2948372,2020,3,18747,0.0,Beschdel test passed
Mulan,69965374.0,,4566758,2020,3,18300,0.0,Beschdel test passed
Mulan,69965374.0,,120762,1998,3,1,1.0,Dubious
Mulan,304320254.0,120620254.0,4566758,2020,3,18300,0.0,Beschdel test passed
Mulan,304320254.0,120620254.0,120762,1998,3,1,1.0,Dubious
Fantasy Island,49447308.0,27309289.0,983946,2020,3,18480,0.0,Beschdel test passed
Trolls World Tour,49276818.0,450000.0,6587640,2020,3,17882,0.0,Beschdel test passed
Unhinged,44331465.0,20831465.0,10059518,2020,3,19319,0.0,Beschdel test passed
Monster Hunter,42145959.0,15162470.0,6475714,2020,3,18731,0.0,Beschdel test passed
Underwater,40882928.0,17291078.0,5774060,2020,3,18236,0.0,Beschdel test passed
Like a Boss,30399490.0,22169514.0,7545266,2020,3,17557,0.0,Beschdel test passed
Emma.,26404660.0,10055355.0,9214832,2020,3,17813,0.0,Beschdel test passed
Promising Young Woman,18854166.0,6460965.0,9620292,2020,3,18698,1.0,Dubious
Freaky,18073433.0,9030855.0,10919380,2020,3,18451,0.0,Beschdel test passed
News of the World,12668325.0,12668325.0,6878306,2020,3,18635,0.0,Beschdel test passed
My Spy,10200000.0,,8242084,2020,3,17922,0.0,Beschdel test passed
Antebellum,7792716.0,,10065694,2020,3,19875,0.0,Beschdel test passed
Innocence,6688330.0,,1724965,2014,3,13084,0.0,Beschdel test passed
Innocence,6688330.0,,375233,2004,3,1682,0.0,Beschdel test passed
How to Be a Good Wife,6033430.0,,10441958,2020,3,18960,0.0,Beschdel test passed
Run,5184368.0,,8633478,2020,3,18675,1.0,Dubious
Run,4409328.0,4409328.0,8633478,2020,3,18675,1.0,Dubious
Avengers: Endgame,2799439100.0,858373000.0,4154796,2019,3,17090,0.0,Beschdel test passed
Spider-Man: Far from Home,1131927996.0,390532085.0,6320628,2019,1,17229,0.0,Female characters have no dialogue
Captain Marvel,1128274794.0,426829839.0,4154664,2019,3,16951,0.0,Beschdel test passed
Joker,1078751311.0,335451311.0,7286456,2019,3,17373,1.0,Dubious
Star Wars: Episode IX - The Rise of Skywalker,1074144248.0,515202542.0,2527338,2019,3,17503,0.0,Beschdel test passed
Toy Story 4,1073394593.0,434038008.0,1979376,2019,3,17204,0.0,Beschdel test passed
Aladdin,1050693953.0,355559216.0,6139732,2019,3,17151,0.0,Beschdel test passed
