Movie Title,World Wide,Deomestic,Foreign
Dune: Part Two,"$685,338,583","$272,938,583","$412,400,000"
Kung Fu Panda 4,"$455,494,113","$174,560,445","$280,933,668"
Godzilla x Kong: The New Empire,"$440,262,286","$160,362,286","$279,900,000"
Bob Marley: One Love,"$176,976,439","$96,676,439","$80,300,000"
Ghostbusters: Frozen Empire,"$160,767,639","$97,767,639","$63,000,000"
The Beekeeper,"$152,720,535","$66,220,535","$86,500,000"
Mean Girls,"$104,404,248","$72,404,248","$32,000,000"
Madame Web,"$100,260,578","$43,815,705","$56,444,873"
Argylle,"$95,500,586","$45,207,275","$50,293,311"
Exhuma,"$91,517,871","$2,004,702","$89,513,169"
Haikyuu!! The Dumpster Battle,"$62,663,242",-,"$62,663,242"
Night Swim,"$54,075,969","$32,494,740","$21,581,229"
Demon Slayer: Kimetsu No Yaiba - To the Hashira Training,"$44,300,780","$17,657,420","$26,643,360"
Imaginary,"$38,653,316","$27,835,419","$10,817,897"
The First Omen,"$36,201,016","$15,432,671","$20,768,345"
Mobile Suit Gundam Seed Freedom,"$29,069,848",-,"$29,069,848"
Arthur the King,"$27,878,532","$23,779,712","$4,098,820"
Civil War,"$26,729,522","$25,712,608","$1,016,914"
The Master and Margarita,"$26,474,658",-,"$26,474,658"
A Strange House,"$25,181,533",-,"$25,181,533"
Doraemon the Movie: Nobita's Earth Symphony,"$24,956,303",-,"$24,956,303"
Monkey Man,"$24,280,109","$18,713,880","$5,566,229"
Mai,"$22,119,910",-,"$22,119,910"
Immaculate,"$21,256,734","$15,281,674","$5,975,060"
Autumn and the Black Jaguar,"$21,246,272",-,"$21,246,272"
Lyod 3,"$20,963,773",-,"$20,963,773"
Cabrini,"$20,018,475","$19,276,852","$741,623"
Wicked Little Letters,"$19,818,543","$2,754,555","$17,063,988"
Ordinary Angels,"$19,430,642","$19,174,421","$256,221"
Golden Kamuy,"$19,077,748",-,"$19,077,748"
Chantal in Fairyland,"$18,695,030",-,"$18,695,030"
Cocorico,"$17,185,667",-,"$17,185,667"
Kleks Academy,"$15,348,026",-,"$15,348,026"
The Chosen: S4 Episodes 1-3,"$14,799,620","$14,409,169","$390,451"
Citizen of a Kind,"$12,494,455",-,"$12,494,455"
Maison de retraite 2,"$11,196,943",-,"$11,196,943"
Eine Million Minuten,"$11,077,140",-,"$11,077,140"
Article 370,"$11,073,822","$980,649","$10,093,173"
Alienoid: The Return to the Future,"$10,693,858","$60,720","$10,633,138"
Cat and Dog,"$10,640,693",-,"$10,640,693"
Late Night with the Devil,"$10,184,032","$9,331,750","$852,282"
Lisa Frankenstein,"$9,927,714","$9,774,285","$153,429"
The Chosen: S4 Episodes 4-6,"$9,482,744","$9,482,744",-
Lohusa,"$8,827,683",-,"$8,827,683"
Letuchiy korabl,"$8,786,685",-,"$8,786,685"
Love Lies Bleeding,"$8,387,085","$7,830,385","$556,700"
Onegin,"$8,282,804",-,"$8,282,804"
The Birth of Korea,"$8,050,507",-,"$8,050,507"
Back to Black,"$7,752,669",-,"$7,752,669"
The Chosen: S4 Episodes 7-8,"$7,729,152","$7,729,152",-
Kolpaçino 4 4'lük,"$7,465,723",-,"$7,465,723"
Drive-Away Dolls,"$6,742,839","$5,028,215","$1,714,624"
I.S.S.,"$6,573,799","$6,573,799",-
Land of Bad,"$6,524,606","$4,620,045","$1,904,561"
Baghead,"$6,443,845",-,"$6,443,845"
Yolo,"$6,408,022","$1,986,365","$4,421,657"
"April, Come She Will","$6,194,463",-,"$6,194,463"
The Book of Clarence,"$6,132,813","$6,132,813",-
Troll Factory,"$5,505,610",-,"$5,505,610"
Air,"$5,468,936",-,"$5,468,936"
Matching,"$5,348,492",-,"$5,348,492"
Force of Nature: The Dry 2,"$5,186,379",-,"$5,186,379"
Un mondo a parte,"$4,874,856",-,"$4,874,856"
Table for Six 2,"$4,871,447",-,"$4,871,447"
Someone Like You,"$4,838,810","$4,838,810",-
Anweshippin Kandethum,"$4,459,155",-,"$4,459,155"
Sami Swoi. Poczatek,"$4,433,525",-,"$4,433,525"
El Roomie,"$4,418,253",-,"$4,418,253"
Crew,"$4,279,509","$1,500,000","$2,779,509"
No Way Up,"$4,230,915","$148,582","$4,082,333"
I soliti idioti 3: Il ritorno,"$4,174,340",-,"$4,174,340"
Dune 2024 Re-release,"$3,995,610",-,"$3,995,610"
The Goat Life,"$3,807,124","$625,000","$3,182,124"
Fighter,"$3,800,771","$1,000,000","$2,800,771"
Gap Lai Chi Bau,"$3,749,297",-,"$3,749,297"
Manjummel Boys,"$3,710,908",-,"$3,710,908"
Daaaaaali!,"$3,679,355",-,"$3,679,355"
3391 Kilometres,"$3,552,862",-,"$3,552,862"
Breaking Point,"$3,532,131",-,"$3,532,131"
The Moon Thieves,"$3,522,654",-,"$3,522,654"
Peppa's Cinema Party,"$3,473,576",-,"$3,473,576"
Pare parecchio Parigi,"$3,445,925",-,"$3,445,925"
Konets Slavy,"$3,445,214",-,"$3,445,214"
Lovesick Ellie,"$3,365,139",-,"$3,365,139"
"Baby boom, or Eggnog 5","$3,236,512",-,"$3,236,512"
Lucky Winners,"$3,184,504",-,"$3,184,504"
2024 Oscar Nominated Short Films: Documentary,"$3,162,293","$3,162,293",-
Boléro,"$3,106,182",-,"$3,106,182"
Verliefd op Bali,"$3,069,304",-,"$3,069,304"
Budda. Dzieciak '98,"$2,895,338",-,"$2,895,338"
Maria Montessori,"$2,817,198",-,"$2,817,198"
Kensuke's Kingdom,"$2,806,933",-,"$2,806,933"
Silent Love,"$2,739,320",-,"$2,739,320"
Rob N Roll,"$2,739,036",-,"$2,739,036"
Noche De Bodas,"$2,734,739",-,"$2,734,739"
Detective Conan vs. Kid the Phantom Thief,"$2,712,761",-,"$2,712,761"
All the Long Nights,"$2,689,624",-,"$2,689,624"
Dog Days,"$2,658,318",-,"$2,658,318"
La familia Benetón,"$2,608,254",-,"$2,608,254"
Operation Portugal 2 - La vie de chateau,"$2,568,568",-,"$2,568,568"
Queen Rock Montreal,"$2,537,304","$2,000,000","$537,304"
Ducobu passe au vert!,"$2,522,436",-,"$2,522,436"
We 12,"$2,491,117",-,"$2,491,117"
The American Society of Magical Negroes,"$2,480,645","$2,480,645",-
Coppers,"$2,462,266",-,"$2,462,266"
Kral Sakir: Devler Uyandi,"$2,449,778",-,"$2,449,778"
50 km/h,"$2,448,047",-,"$2,448,047"
National Theatre Live: Vanya,"$2,445,415",-,"$2,445,415"
Noah's Ark,"$2,363,219",-,"$2,363,219"
14 jours pour aller mieux,"$2,357,682",-,"$2,357,682"
The Good Teacher,"$2,340,886",-,"$2,340,886"
Tati Part Time,"$2,330,252",-,"$2,330,252"
White Bird,"$2,326,201",-,"$2,326,201"
Bonnard: Pierre & Marthe,"$2,310,595",-,"$2,310,595"
Premalu,"$2,310,220",-,"$2,310,220"
Too Old for Fairy Tales 2,"$2,303,649",-,"$2,303,649"
Atatürk 1881 - 1919 Film 2 Release,"$2,287,455",-,"$2,287,455"
Picnic,"$2,256,981",-,"$2,256,981"
Tillu Square,"$2,217,419","$1,870,000","$347,419"
It's Raining Men,"$2,196,213",-,"$2,196,213"
Shrek 2 2024 Re-release,"$2,166,110","$2,166,110",-
SUGA: Agust D Tour 'D-DAY' the Movie,"$2,156,639","$1,951,896","$204,743"
Don't Lose Your Head!,"$2,113,320",-,"$2,113,320"
Todas menos tú,"$2,110,306",-,"$2,110,306"
The Ark and the Darkness,"$2,097,560","$2,097,560",-
Race for Glory: Audi vs. Lancia,"$2,073,009",-,"$2,073,009"
Aristokratka ve varu,"$2,035,808",-,"$2,035,808"
Out of Darkness,"$1,987,281","$1,951,547","$35,734"
Nedelja,"$1,905,017",-,"$1,905,017"
Salle des profs,"$1,855,403",-,"$1,855,403"
Un altro Ferragosto,"$1,842,935",-,"$1,842,935"
YA - medved,"$1,842,294",-,"$1,842,294"
Love You as the World Ends: Episode #4.5,"$1,814,466",-,"$1,814,466"
Komandir,"$1,808,588",-,"$1,808,588"
Valle de sombras,"$1,805,813",-,"$1,805,813"
Adam & Eve,"$1,782,241",-,"$1,782,241"
El correo,"$1,772,843",-,"$1,772,843"
Kardes Takimi,"$1,748,615",-,"$1,748,615"
La ferme des Bertrand,"$1,719,910",-,"$1,719,910"
Teri Baaton Mein Aisa Uljha Jiya,"$1,699,722",-,"$1,699,722"
Dead Man,"$1,689,878",-,"$1,689,878"
Like a Prince,"$1,681,549",-,"$1,681,549"
Madame de Sévigné,"$1,640,410",-,"$1,640,410"
I Did It My Way,"$1,628,896","$198,405","$1,430,491"
A Silence,"$1,562,685",-,"$1,562,685"
Romeo è Giulietta,"$1,555,180",-,"$1,555,180"
Dune IMAX,"$1,550,188","$570,000","$980,188"
Homeward,"$1,513,132",-,"$1,513,132"
Let's Go Karaoke!,"$1,510,372",-,"$1,510,372"
Shaitaan,"$1,501,788",-,"$1,501,788"
National Theatre Live: Dear England,"$1,484,667",-,"$1,484,667"
Mothers' Instinct,"$1,484,190",-,"$1,484,190"
Off-Season,"$1,481,675",-,"$1,481,675"
Matka v trapu,"$1,477,538",-,"$1,477,538"
The Promised Land,"$1,468,092","$257,749","$1,210,343"
Et plus si affinités,"$1,455,065",-,"$1,455,065"
Irklais per Atlanta,"$1,414,722",-,"$1,414,722"
