title,year,bt_score,dubious,imdbid,tmdbId,budget,id,popularity,revenue,Category,castMale,castFemale,castUnknown,CrewMale,CrewFemale,CrewUnknown,genre
Sallie Gardner at a Gallop,1878,0,0,2221420,194079,0.0,194079,0.327841,0.0,Two named female character not present,2.0,0.0,0.0,1.0,0.0,2.0,Documentary
Accordion Player,1888,0,0,1758563,96882,0.0,96882,0.212768,0.0,Two named female character not present,1.0,0.0,0.0,0.0,1.0,0.0,Documentary
"Monkeyshines, No. 1",1890,0,0,361921,32571,0.0,32571,1.163672,0.0,Two named female character not present,1.0,0.0,0.0,5.0,0.0,0.0,Comedy
Dickson Greeting,1891,0,0,241373,33229,0.0,33229,1.041504,0.0,Two named female character not present,1.0,0.0,0.0,3.0,0.0,0.0,Documentary
Je vous aime,1891,0,0,3201916,336380,0.0,336380,0.212894,0.0,Two named female character not present,1.0,0.0,0.0,1.0,0.0,1.0,Documentary
Blacksmith Scene,1893,0,0,5,16624,0.0,16624,1.061591,0.0,Two named female character not present,2.0,0.0,0.0,2.0,0.0,0.0,Drama
Buffalo Dance,1894,0,0,309402,155107,0.0,155107,0.205698,0.0,Two named female character not present,3.0,0.0,0.0,2.0,0.0,0.0,Documentary
Carmencita,1894,0,0,1,16612,0.0,16612,1.273072,0.0,Two named female character not present,0.0,1.0,0.0,2.0,0.0,0.0,Documentary
Edison Kinetoscopic Record of a Sneeze,1894,0,0,8,105158,0.0,105158,0.312246,0.0,Two named female character not present,1.0,0.0,0.0,1.0,0.0,0.0,Documentary
"Luis Martinetti, Contortionist",1894,0,0,277115,189054,0.0,189054,0.160054,0.0,Two named female character not present,1.0,0.0,0.0,1.0,0.0,0.0,Documentary
Tables Turned on the Gardener,1895,0,0,14,82120,0.0,82120,1.963421,0.0,Two named female character not present,2.0,0.0,0.0,3.0,0.0,0.0,Comedy
"Execution of Mary, Queen of Scots, The",1895,0,0,132134,34372,0.0,34372,0.938418,0.0,Two named female character not present,1.0,0.0,0.0,1.0,0.0,0.0,History
Annabelle Serpentine Dance,1895,0,0,154152,144410,0.0,144410,1.58434,0.0,Two named female character not present,0.0,1.0,0.0,2.0,0.0,0.0,Documentary
Baby&#39;s Dinner,1895,1,1,29,122134,0.0,122134,1.402404,0.0,Dubious,1.0,2.0,0.0,2.0,0.0,0.0,Documentary
"House of the Devil, The",1896,0,0,91,133063,0.0,133063,1.53747,0.0,Two named female character not present,1.0,1.0,0.0,4.0,0.0,0.0,"Fantasy, Horror"
Une nuit terrible,1896,0,0,131,104462,0.0,104462,1.017971,0.0,Two named female character not present,1.0,0.0,0.0,5.0,0.0,0.0,"Comedy, Horror"
"Arrival of a Train, The",1896,0,0,12,160,0.0,160,5.256608,0.0,Two named female character not present,0.0,1.0,0.0,3.0,0.0,0.0,Documentary
Four Heads Are Better Than One,1898,0,0,135696,49296,0.0,49296,0.966366,0.0,Two named female character not present,1.0,0.0,0.0,3.0,0.0,0.0,"Comedy, Fantasy"
